feature,score
turkey,0.5078934244060039
disorder,0.5047879095643623
promote,0.5023064663390151
strong,0.5013937465396956
rise,0.5004031593306935
cause,0.5003259663529863
deserve,0.5002202559817543
deal,0.4994958172678783
strength,0.499227417410706
modern,0.4983518186700673
production,0.497699755689541
milk,0.49745967313908096
manage,0.49500504646974497
vote,0.49366221620251305
miami,0.49316801308386876
associate,0.4928934263382737
red,0.49202236089436563
stock,0.49147105713092093
stop talk,0.4893647506234601
man stop,0.48914925760935496
water,0.488119565508434
successful,0.48751441497924386
wide,0.4867941305923204
speak,0.4802295633891722
kid,0.4790009379649056
church,0.4783142256784062
beautiful,0.4777659715225717
reason,0.4770778329858034
recent,0.4761911288600402
prevent,0.4751249529333859
compare,0.47486393204244043
like,0.47246070621497305
marijuana,0.47224867220240957
diet,0.47085982399818216
world,0.47020053566859665
israel,0.46759632064897744
high,0.4669032854794267
police officer,0.46676968018342635
increase,0.4648907530627695
death url,0.46410696923639405
cure,0.46192451943982127
weight loss,0.4618682504817157
depression,0.46164940909063457
enhance,0.4612573767831144
hashtag,0.4590295438880243
amazon,0.4571176344091039
happy,0.45602027418304547
study find,0.4552209690586044
aim,0.45476891685085963
long,0.4543750495414933
feeling,0.45279335390412745
play,0.45266376935087127
way,0.450616592762767
tweet,0.45053098364526867
company,0.4501018489716322
mark,0.44945013739563855
genetic,0.44705406219447513
study show,0.44497303357392415
hate,0.44462789034950245
fight,0.4438434505964735
peace,0.44263014556252506
wonderful,0.44227824988696246
break,0.44071188590038574
remove,0.43998423384511126
reply,0.43484337200541057
add,0.4348098961835921
question,0.4344119755179647
proud,0.432903274642453
cardiac,0.4323158018384185
stop traffic,0.4322899662833481
centre,0.43121605244175937
ban,0.43114337497968547
campaign,0.4299125455680719
people get,0.4290905073928645
bone,0.4289706964596658
include,0.428177110039694
big,0.4271958067512043
match,0.4232401528267597
watch,0.42243394292035996
benefit,0.4216499275325216
sugar,0.42033350778649525
california,0.4196653287115151
look,0.41794102114074516
draw,0.4173691606153539
form,0.4169151301713577
service,0.41575373214659084
talk,0.41450279064683926
period,0.41418348748537825
shoot,0.4139824552377224
general,0.4114053672486141
investigation,0.40973519617884957
quote,0.4093384615825253
civic,0.40693289630987445
nature,0.406681254797528
die,0.4066587445636175
carry,0.4064781180089757
food,0.4055465095533881
ppl,0.4055228867695507
USER cause,0.4055228867695507
frustrating,0.4053762110173684
receive,0.405258210737505
second,0.4038465603450307
base,0.4025065873512978
update,0.40132594601480376
hashtag_news,0.4008532667066264
free,0.400776686920448
trading,0.39826802902423886
physician,0.39823119787174166
allow,0.39792969191799993
visit,0.39616980365391374
official,0.3949762751272181
say,0.3948938636861996
phone,0.3928855688216301
green,0.3916836383156451
point,0.3890010341495454
teacher,0.3886882905196568
debate,0.3874951342235341
local,0.3843001205670406
address,0.3833303670444017
save,0.3825506582852865
identity,0.3816787501625398
url url,0.3795806088989975
protection,0.3767236421256166
violence,0.3765897087137569
healthcare,0.37556243236241604
voter,0.3735555773061721
online,0.37329648251039516
right,0.37064191429304916
covid19,0.3697573864543881
share,0.3695321943264097
industry,0.36594740377078105
interested,0.3631622882827985
store,0.3615301721795055
mobile,0.36147373577148684
avoid,0.3598712546308654
get stop,0.35952459863160174
song,0.35863336854835615
quarter,0.35626658265545297
lie,0.35536604214277456
USERs,0.3544447342954734
grow,0.35323153033316024
social medium,0.35039250149584933
policy,0.34847384067305076
USER report,0.3466568628153125
ignore,0.3465244654539424
tech,0.3447251779451106
retweet,0.3445299032789889
community,0.3442614371895022
small,0.3411641347473534
